index_0,permutation_index,sample,value
0,0,0,2
0,1,0,0
0,2,0,4
0,3,0,1
0,4,0,3
1,0,0,4
1,1,0,0
1,2,0,3
1,3,0,1
1,4,0,2
2,0,0,4
2,1,0,1
2,2,0,3
2,3,0,0
2,4,0,2
3,0,0,1
3,1,0,4
3,2,0,3
3,3,0,2
3,4,0,0
4,0,0,4
4,1,0,2
4,2,0,1
4,3,0,0
4,4,0,3
5,0,0,1
5,1,0,0
5,2,0,3
5,3,0,2
5,4,0,4
6,0,0,2
6,1,0,3
6,2,0,1
6,3,0,0
6,4,0,4
7,0,0,4
7,1,0,0
7,2,0,3
7,3,0,1
7,4,0,2
8,0,0,3
8,1,0,1
8,2,0,4
8,3,0,2
8,4,0,0
9,0,0,2
9,1,0,3
9,2,0,0
9,3,0,1
9,4,0,4
10,0,0,0
10,1,0,4
10,2,0,1
10,3,0,2
10,4,0,3
11,0,0,0
11,1,0,4
11,2,0,2
11,3,0,1
11,4,0,3
12,0,0,1
12,1,0,0
12,2,0,2
12,3,0,4
12,4,0,3
13,0,0,3
13,1,0,1
13,2,0,2
13,3,0,0
13,4,0,4
14,0,0,1
14,1,0,3
14,2,0,4
14,3,0,0
14,4,0,2
15,0,0,1
15,1,0,3
15,2,0,0
15,3,0,2
15,4,0,4
16,0,0,1
16,1,0,4
16,2,0,3
16,3,0,0
16,4,0,2
17,0,0,3
17,1,0,4
17,2,0,1
17,3,0,0
17,4,0,2
18,0,0,3
18,1,0,1
18,2,0,2
18,3,0,4
18,4,0,0
19,0,0,4
19,1,0,0
19,2,0,3
19,3,0,2
19,4,0,1
0,0,1,1
0,1,1,3
0,2,1,4
0,3,1,0
0,4,1,2
1,0,1,0
1,1,1,4
1,2,1,2
1,3,1,1
1,4,1,3
2,0,1,1
2,1,1,3
2,2,1,2
2,3,1,0
2,4,1,4
3,0,1,4
3,1,1,1
3,2,1,3
3,3,1,2
3,4,1,0
4,0,1,1
4,1,1,3
4,2,1,0
4,3,1,4
4,4,1,2
5,0,1,4
5,1,1,3
5,2,1,0
5,3,1,2
5,4,1,1
6,0,1,4
6,1,1,3
6,2,1,0
6,3,1,2
6,4,1,1
7,0,1,1
7,1,1,2
7,2,1,3
7,3,1,4
7,4,1,0
8,0,1,2
8,1,1,1
8,2,1,3
8,3,1,4
8,4,1,0
9,0,1,4
9,1,1,2
9,2,1,0
9,3,1,3
9,4,1,1
10,0,1,4
10,1,1,3
10,2,1,1
10,3,1,0
10,4,1,2
11,0,1,4
11,1,1,2
11,2,1,0
11,3,1,1
11,4,1,3
12,0,1,4
12,1,1,1
12,2,1,0
12,3,1,2
12,4,1,3
13,0,1,3
13,1,1,0
13,2,1,1
13,3,1,4
13,4,1,2
14,0,1,3
14,1,1,0
14,2,1,4
14,3,1,1
14,4,1,2
15,0,1,1
15,1,1,3
15,2,1,4
15,3,1,2
15,4,1,0
16,0,1,3
16,1,1,4
16,2,1,0
16,3,1,1
16,4,1,2
17,0,1,0
17,1,1,4
17,2,1,2
17,3,1,1
17,4,1,3
18,0,1,2
18,1,1,1
18,2,1,0
18,3,1,4
18,4,1,3
19,0,1,2
19,1,1,0
19,2,1,3
19,3,1,4
19,4,1,1
0,0,2,1
0,1,2,3
0,2,2,2
0,3,2,0
0,4,2,4
1,0,2,1
1,1,2,4
1,2,2,2
1,3,2,0
1,4,2,3
2,0,2,2
2,1,2,4
2,2,2,1
2,3,2,0
2,4,2,3
3,0,2,3
3,1,2,1
3,2,2,4
3,3,2,2
3,4,2,0
4,0,2,1
4,1,2,3
4,2,2,0
4,3,2,4
4,4,2,2
5,0,2,1
5,1,2,3
5,2,2,0
5,3,2,2
5,4,2,4
6,0,2,3
6,1,2,4
6,2,2,2
6,3,2,0
6,4,2,1
7,0,2,1
7,1,2,2
7,2,2,3
7,3,2,4
7,4,2,0
8,0,2,2
8,1,2,4
8,2,2,3
8,3,2,1
8,4,2,0
9,0,2,4
9,1,2,2
9,2,2,0
9,3,2,3
9,4,2,1
10,0,2,0
10,1,2,1
10,2,2,4
10,3,2,3
10,4,2,2
11,0,2,1
11,1,2,4
11,2,2,0
11,3,2,2
11,4,2,3
12,0,2,4
12,1,2,2
12,2,2,0
12,3,2,1
12,4,2,3
13,0,2,3
13,1,2,0
13,2,2,2
13,3,2,1
13,4,2,4
14,0,2,3
14,1,2,0
14,2,2,4
14,3,2,1
14,4,2,2
15,0,2,1
15,1,2,3
15,2,2,2
15,3,2,4
15,4,2,0
16,0,2,1
16,1,2,4
16,2,2,0
16,3,2,3
16,4,2,2
17,0,2,1
17,1,2,4
17,2,2,2
17,3,2,0
17,4,2,3
18,0,2,4
18,1,2,2
18,2,2,0
18,3,2,1
18,4,2,3
19,0,2,0
19,1,2,1
19,2,2,2
19,3,2,4
19,4,2,3
0,0,3,0
0,1,3,2
0,2,3,4
0,3,3,1
0,4,3,3
1,0,3,2
1,1,3,3
1,2,3,0
1,3,3,1
1,4,3,4
2,0,3,3
2,1,3,4
2,2,3,2
2,3,3,1
2,4,3,0
3,0,3,2
3,1,3,0
