index_0,sample,value
0,0,2.588849075478361
1,0,0.7902138057150965
2,0,1.1155215396362212
3,0,0.4997892718867587
4,0,4.510233748618774
0,1,0.41074225193161495
1,1,0.5623538149193292
2,1,4.456647064934121
3,1,0.13586848698040088
4,1,0.6832196334044159
0,2,0.4746866293918123
1,2,0.7234663517071601
2,2,0.6214838544277064
3,2,0.028639018073996714
4,2,0.43331952865053414
0,3,0.42440543093809213
1,3,0.5323086471682126
2,3,0.2590558836696206
3,3,0.26418136104180123
4,3,0.17638859068869167
0,4,0.5788592482454917
1,4,0.34550710538662394
2,4,0.22007495549415745
3,4,0.3616922344550286
4,4,0.0535991520379967
0,5,0.3528138776852559
1,5,0.41140780444274594
2,5,0.9899138835265237
3,5,0.03701194482030004
4,5,0.23525119214581908
0,6,0.5129163968141743
1,6,0.3422893887042098
2,6,0.8377408671549125
3,6,0.027824330985543537
4,6,0.38627856074798167
0,7,0.20763606397790674
1,7,0.24044511245211636
2,7,0.24944994922753097
3,7,0.1436866355307652
4,7,0.15055649567688462
0,8,0.2491400829029494
1,8,0.17890764484411237
2,8,0.33037110945607795
3,8,0.13526130837321926
4,8,0.09130568682684027
0,9,0.25511867248524184
1,9,0.43802569662575985
2,9,0.284334060402099
3,9,0.06684657249351958
4,9,0.09274329731612693
0,10,0.19716731946673455
1,10,0.4081973578108396
2,10,0.26122125647760575
3,10,0.034378819308601184
4,10,0.07433049700647007
0,11,0.2243146441448009
1,11,0.2717424123574353
2,11,0.15348715515831207
3,11,0.18085633440712381
4,11,0.037160013519398655
0,12,0.38998715810774287
1,12,0.1636841853061466
2,12,0.16598218586056315
3,12,0.10236967328706614
4,12,0.04697907356819582
0,13,0.19278434108941422
1,13,0.41790593972303736
2,13,0.193196069304149
3,13,0.07991445642477046
4,13,0.13395321699902502
0,14,0.24738503800963307
1,14,0.1584998339348238
2,14,0.26754341220557937
3,14,0.033375755239766956
4,14,0.13929139265644933
0,15,0.15806806078593302
1,15,0.007892275711614409
2,15,0.1665655466793891
3,15,0.04544962520720275
4,15,0.04158504718860373
0,16,0.2749449176370672
1,16,0.008166234148688398
2,16,0.13451731683151422
3,16,0.025874411491788096
4,16,0.10481308920447652
0,17,0.1651579064407938
1,17,0.004998238443680494
2,17,0.1355002244370473
3,17,0.09829743456606377
4,17,0.06809385471433052
0,18,0.16473912219315412
1,18,0.006753587817305534
2,18,0.1473115666147079
3,18,0.0463520058333702
4,18,0.08823681718027933
0,19,0.26755849718815694
1,19,0.03648939062574166
2,19,0.17406083331390432
3,19,0.023927989947654743
4,19,0.10854387382420683
0,20,0.22242342905545898
1,20,0.028038427367214805
2,20,0.18764156926560502
3,20,0.020258998310678976
4,20,0.13888217718791251
0,21,0.2610388287985923
1,21,0.0044057398514536356
2,21,0.11265435396389811
3,21,0.02058023021317495
4,21,0.15274733295353715
0,22,0.22500749829195843
1,22,0.006434892128669772
2,22,0.09337457191762347
3,22,0.017737606078128854
4,22,0.1333766751448268
0,23,0.21506237545100473
1,23,0.014876125566344545
2,23,0.20233462256369145
